position,company,salary,city,work_years,education,desc,domain,stage,scale
资深数据分析师,快手X3招聘,20k-40k,北京,经验3-5年,本科及以上,职位描述：职位描述1、以一定定量方法解决产品、运营、战略相关的各种复杂商业分析问题，能独立完成方法或策略设计、数据处理与分析的工程实现，结论展示的整个流程；2、对公司内外部数据进行挖掘，在深入理解用户行为、产品特点的基础上，自主发掘课题，提出建议，数据驱动产品、运营与战略决策。任职要求1、很强的商业洞察能力，数字敏感性与逻辑思维能力；2、对统计学、运筹学、机器学习等各种定量方法有较深入理解，能以合适的分析框架解决各种复杂问题，包括策略设计、数学建模；3、熟练使用HQL，Python，R等分析工具和办公软件，快速学习能力强；4、有音乐类视频类项目经验优先。,文娱丨内容,D轮及以上,2000人以上
高级数据分析师,华晨宝马招聘,25k-35k,北京,经验5-10年,本科及以上,职位描述：责任•设计，创建，编码和支持各种HadoopETL解决方案（可能包括但不限于：Python，Scala，Kafka，Spark，FlinkFlume，Kettle，Azkaban或其他）•生成并实施关于如何改善大数据生态系统的数据处理的自己的想法•参与大数据空间中新兴工具和流程的评估，实施和部署。•与业务分析师和架构师合作以提供业务计划。•协同解决大数据生态系统中的技术和性能问题•获得认可大学的相关学科的学士学位•至少7年的IT经验•对Hadoop基础有深入的了解•使用Oracle，SQLServer进行数据库开发的经验•工作计划经验•具有创建，记录和实施标准流程经验的流程思维•使用Hive，Presto，HBase和/或Spark的大数据开发经验•有效的口头和书面沟通及影响力技巧。•有效的分析和技术技能。•在团队环境中工作的能力•具有研究，计划，组织，领导和实施新流程或技术的能力•对数据驱动业务，关键思想家，问题解决者和自我启动者的热情 优先资格•Python，Scala或Java开发经验•熟悉Hadoop生态系统•熟悉Linux操作系统•具有敏捷技术或方法的经验•对MarTech和汽车行业的了解,汽车丨出行,未融资,2000人以上
数据分析,快手运营分析组招聘,8k-10k,成都,经验1-3年,本科及以上,职位描述：岗位职责:1、负责团队业务、人员指标建立及数据体系搭建，以衡量团队运营能力；2、负责团队数据报表模板建立，并进行常态数据统计、监控，推动数据平台的建立及完善；3、及时对数据进行深入分析，发现问题并提出改进意见，参与推动业务团队改善；4、根据团队需要，提供专项数据支持。任职资格:1、2年以上数据分析工作经验，有客服或审核团队数据经验者优先；2、本科及以上学历，专业不限，统计学或数学相关专业优先；3、熟练运用Excel进行数据统计与分析；4、具备较强的逻辑思维，问题分析与解决能力；5、具备良好的跨团队合作及沟通学习能力。,文娱丨内容,D轮及以上,2000人以上
大数据分析,步峰信息招聘,15k-30k,北京,经验3-5年,大专及以上,职位描述：岗位职责：1、有从事分布式数据存储与计算平台应用开发经验，熟悉Hadoop生态相关技术并有相关开发经验，有Spark/Flink/Storm的开发经验尤佳；2、有大数据处理经验hbase、mongodb、redis、es等各类存储；3、较为丰富的数据仓库及数据平台的架构经验，精通数据仓库建模及ETL设计开发；有较为系统的海量数据性能处理经验4、负责分布式网络爬虫系统的架构设计与开发，包括爬虫、结构化提取和内容分析等相关功能及平台开发。,"移动互联网,企业服务",不需要融资,50-150人
大数据分析,步峰信息招聘,15k-25k,北京,经验3-5年,本科及以上,职位描述：1、有从事分布式数据存储与计算平台应用开发经验，熟悉Hadoop生态相关技术并有相关开发经验，有Spark/Flink/Storm的开发经验尤佳；2、有大数据处理经验hbase、mongodb、redis、es等各类存储；3、较为丰富的数据仓库及数据平台的架构经验，精通数据仓库建模及ETL设计开发；有较为系统的海量数据性能处理经验4、负责分布式网络爬虫系统的架构设计与开发，包括爬虫、结构化提取和内容分析等相关功能及平台开发。,"移动互联网,企业服务",不需要融资,50-150人
大数据分析,上海爱信诺航天信息有限公司软件事业部招聘,4k-5k,上海,经验应届毕业生,本科及以上,"职位描述：职位描述：1、负责数据库安装、部署及日常运维工作；    2、负责完成数据采集、诊断、清洗、汇总、管理工作；    3、协助客户利用数据分析工具（SAS、SPSS、R、Python）开展大数据分析挖掘，构建数据挖掘模型、产生数据分析报告等工作；    4、协助了解客户业务需求，结合数据分析成果提供差异化和精细化管理咨询服务工作；    5、参与公司产品设计、开发、测试、投产等研发工作，包括但不限于需求梳理、数据准备、技术开发、测试案例编写以及相关功能和数据准确性测试；    6、参与公司技术文档以及产品文档的撰写工作。    职位要求：  1、本科及以上学历；2、具备较好的逻辑思维能力；   3、熟悉数据库原理，熟练运用SQL、Mysql/Sqlserver/Oracle/DB2等；    4、熟悉定量分析基本原理，会用SAS、R、SPSS、Python等统计工具；    5、熟悉Java和J2EE，了解Spring框架，熟悉linux/unix系统；    6、熟悉BIEE、Cognos、MSTR等报表工具，了解数据仓库、星型模型和olap；    7、精通Excel宏,并且能运用VBA进行快速编程者更佳；   8、认真细致，踏实肯干，吃苦耐劳，有责任心、耐心和上进心，工作","移动互联网,金融",上市公司,150-500人
数据分析,前程无忧招聘,23k-43k,北京,经验3-5年,本科及以上,职位描述：职位描述根据银行业务经营范围和日常运营要求，基于数据集成平台的业务数据进行统计、分析、汇总、挖掘，满足银行业务管理、营销及监管需求，支持业务发展任职要求1、具有3年及以上商业银行或其他金融机构信息技术相关工作经验；2、熟练掌握Java或C/C++语言等编程语言及主流开源相关技术，具有开发工具设计的经验，掌握银行信息系统开发规范、信息系统架构及数据库相关知识；3、具有数据分析业务系统开发工作经验者优先，如ODS、数据仓库、数据分析平台、批量作业调度平台、数据治理相关系统、各类监管报送系统及报表平台等；4、具有良好的沟通能力、表达能力、文字写作能力、团队协作能力及一定的抗压能力；5、具有良好的英语听、说、读、写能力，取得大学英语4级证书或4级成绩在425分及以上。,"移动互联网,企业服务",上市公司,500-2000人
数据分析岗,达达-京东到家招聘,20k-35k,北京,经验3-5年,本科及以上,"职位描述：1、负责o2o电商日常运营数据的统计,监控,梳理指标体系；2、基于海量用户行为数据,挖掘不同业务场景下的数据洞察,发现运营中潜在的问题与机会,协助推进解决方案的落地和应用；3、深刻理解数据和业务的关系,进行各因素影响的量化分析,通过分析报告和数据结论驱动产品和运营的核心策略的制定和优化。职位要求：1、本科以上学历,数学,统计学,计算机等相关专业；2、精通SQL,Excel,R或python等工具和语言；3、具备很好的逻辑思维和数据思维能力,对数据和业务有足够的敏感性；4、良好的理解,沟通,表达,团队协作,跨部门协作能力；5、有互联网或电商行业经验优先。",消费生活,D轮及以上,2000人以上
高级数据分析经理,达达-京东到家招聘,30k-50k,上海,经验5-10年,硕士及以上,"职位描述：岗位职责：1.定期追踪公司关键指标,并从业务层面解析开展情况,洞察业务动作，提出指导改进策略。2.基于对业务的深度理解,通过数据挖掘与分析,针对公司关键指标以及运营各业务线输出专项分析报告,及时发现问题,为运营决策、用户营销等提供决策支持和优化方向。 3.搭建数据分析体系，为公司制定和提升数据应用的价值4.根据具体业务需要，对业务策略、产品优化提供数据支持岗位要求：1.本科以上学历，统计、数学、计算机相关专业优先2.具有5年以上数据分析经验，有互联网经验优先3.精通SQL、Excel等，熟悉Python；了解SAS、SPSS、R等优先4.工作严谨，责任心强，有较强的沟通技巧，善于从数据中发现、分析问题；思路清晰，逻辑性强，能独立分析问题和解决问题。",消费生活,D轮及以上,2000人以上
数据分析师,美图公司招聘,8k-16k,厦门,经验1-3年,本科及以上,职位描述：美图的数据科学团队是⼀个数据驱动决策的团队。我们正在寻找一位合格的具有大数据分析和技术经验的数据科学家或高级数据分析师。理想的候选人是数据驱动型的问题解决者，能够运用SQL分析大量数据，输出分析报告以推动业务决策，构建自动化数据模型，提供简单有效的可视化面板，以推动产品、用户或情景化理解。理想人选需要能够区分直觉和事实的区别，明白我们的工作是遏制我们的直觉，以便我们能够提供无偏见的、可以奠定公司业务基础的坚实事实。核心要求：-本科及以上学历，计算机、数学、统计学、工程学或其他相关专业学历；-丰富的SQL经验；-熟悉统计理论，包括假设检验和回归；-至少1年以上面向C端用户，能够处理庞大用户数据的互联网工作经验；-有使用数据可视化软件的经验，如Jupyter、Tableau、Looker、Google Datastudio等；-有批判性思维和创造性思维。加分项：-熟练掌握SQL；-精通任意一种编程语言，如Python、Java、Scala、R；-有Google Cloud Platform、Google Firebase、Google Analytics和BigQuery的使用经验。,硬件,上市公司,2000人以上
